[26745, 25261]
[24917, 44101]
[28506, 46980]
[35729, 95519]
[10096, 22798]
[40685, 80131]
[11406, 9359]
[9161, 12243]
[36215, 49349]
[64428, 73564]
[54568, 34193]
[13165, 8369]
[64134, 129593]
[4765, 2804]
[17203, 39830]
[11466, 16100]
[13617, 10761]
[43392, 69317]
[57744, 97887]
[21465, 21818]
[27111, 12392]
[54537, 38057]
[36270, 75626]
[16705, 31209]
[6417, 10094]
[47723, 70836]
[20889, 22804]
[26590, 30530]
[18645, 24546]
[42141, 19068]
[14741, 9342]
[56355, 15260]
[31536, 12788]
[13448, 26424]
[19811, 22283]
[6250, 11856]
[59614, 44992]
[34123, 24285]
[49868, 83447]
[44782, 26045]
[49839, 64920]
[13266, 24388]
[41551, 30069]
[14476, 10417]
[47542, 48228]
[887, 1987]
[875, 1900]
[8351, 16308]
[44591, 65191]
[49717, 29091]
[12776, 17689]
[11804, 14207]
[17151, 27445]
[1817, 976]
[49369, 54789]
[45636, 82286]
[26387, 36593]
[42271, 38613]
[13949, 20238]
[4666, 13734]
[55822, 70899]
[59100, 63392]
[54857, 48593]
[7612, 5145]
[24603, 31335]
[58552, 30339]
[53140, 70082]
[59485, 69980]
[34764, 101743]
[18351, 34100]
[17785, 43193]
[43372, 15710]
[45698, 62569]
[60841, 32137]
[7846, 2908]
[28076, 22986]
[20127, 19282]
[24549, 30105]
[26256, 16536]
[47923, 72783]
[16424, 36062]
[56410, 34695]
[8484, 13258]
[49284, 84190]
[430, 884]
[55267, 87688]
[24223, 26988]
[23905, 47309]
[11851, 12775]
[15910, 9022]
[21974, 49317]
[51816, 126824]
[38600, 66149]
[59035, 109614]
[26241, 25954]
[41010, 77368]
[12019, 16076]
[25595, 69060]
[14935, 12007]
[25686, 59929]
[54129, 71392]
[34305, 55140]
[40378, 116483]
[32611, 19652]
[63047, 25346]
[60104, 49625]
[47109, 37004]
[43767, 35442]
[39670, 22526]
[19711, 55100]
[56228, 57277]
[20654, 11062]
[52105, 65522]
[3369, 965]
[57686, 77706]
[29356, 10104]
[24605, 11425]
[62334, 81086]
[18075, 19180]
[65247, 76943]
[24680, 22073]
[22952, 16827]
[59613, 17701]
[41013, 26369]
[52889, 36504]
[51113, 63755]
[42311, 101552]
[47657, 110886]
[1398, 591]
[19320, 35067]
[59160, 27156]
[42507, 17359]
[23739, 13752]
[7941, 6989]
[35035, 86271]
[32202, 17855]
[10135, 8540]
[64201, 68099]
